date,calendar_year,calendar_month,month_name,month_short,fiscal_year,fiscal_quarter,days_in_month
2014-04-01,2014,4,April,Apr,FY 2014-15,Q1,30
2014-05-01,2014,5,May,May,FY 2014-15,Q1,31
2014-06-01,2014,6,June,Jun,FY 2014-15,Q1,30
2014-07-01,2014,7,July,Jul,FY 2014-15,Q2,31
2014-08-01,2014,8,August,Aug,FY 2014-15,Q2,31
2014-09-01,2014,9,September,Sep,FY 2014-15,Q2,30
2014-10-01,2014,10,October,Oct,FY 2014-15,Q3,31
2014-11-01,2014,11,November,Nov,FY 2014-15,Q3,30
2014-12-01,2014,12,December,Dec,FY 2014-15,Q3,31
2015-01-01,2015,1,January,Jan,FY 2014-15,Q4,31
2015-02-01,2015,2,February,Feb,FY 2014-15,Q4,28
2015-03-01,2015,3,March,Mar,FY 2014-15,Q4,31
2015-04-01,2015,4,April,Apr,FY 2015-16,Q1,30
2015-05-01,2015,5,May,May,FY 2015-16,Q1,31
2015-06-01,2015,6,June,Jun,FY 2015-16,Q1,30
2015-07-01,2015,7,July,Jul,FY 2015-16,Q2,31
2015-08-01,2015,8,August,Aug,FY 2015-16,Q2,31
2015-09-01,2015,9,September,Sep,FY 2015-16,Q2,30
2015-10-01,2015,10,October,Oct,FY 2015-16,Q3,31
2015-11-01,2015,11,November,Nov,FY 2015-16,Q3,30
2015-12-01,2015,12,December,Dec,FY 2015-16,Q3,31
2016-01-01,2016,1,January,Jan,FY 2015-16,Q4,31
2016-02-01,2016,2,February,Feb,FY 2015-16,Q4,29
2016-03-01,2016,3,March,Mar,FY 2015-16,Q4,31
2016-04-01,2016,4,April,Apr,FY 2016-17,Q1,30
2016-05-01,2016,5,May,May,FY 2016-17,Q1,31
2016-06-01,2016,6,June,Jun,FY 2016-17,Q1,30
2016-07-01,2016,7,July,Jul,FY 2016-17,Q2,31
2016-08-01,2016,8,August,Aug,FY 2016-17,Q2,31
2016-09-01,2016,9,September,Sep,FY 2016-17,Q2,30
2016-10-01,2016,10,October,Oct,FY 2016-17,Q3,31
2016-11-01,2016,11,November,Nov,FY 2016-17,Q3,30
2016-12-01,2016,12,December,Dec,FY 2016-17,Q3,31
2017-01-01,2017,1,January,Jan,FY 2016-17,Q4,31
2017-02-01,2017,2,February,Feb,FY 2016-17,Q4,28
2017-03-01,2017,3,March,Mar,FY 2016-17,Q4,31
2017-04-01,2017,4,April,Apr,FY 2017-18,Q1,30
2017-05-01,2017,5,May,May,FY 2017-18,Q1,31
2017-06-01,2017,6,June,Jun,FY 2017-18,Q1,30
2017-07-01,2017,7,July,Jul,FY 2017-18,Q2,31
2017-08-01,2017,8,August,Aug,FY 2017-18,Q2,31
2017-09-01,2017,9,September,Sep,FY 2017-18,Q2,30
2017-10-01,2017,10,October,Oct,FY 2017-18,Q3,31
2017-11-01,2017,11,November,Nov,FY 2017-18,Q3,30
2017-12-01,2017,12,December,Dec,FY 2017-18,Q3,31
2018-01-01,2018,1,January,Jan,FY 2017-18,Q4,31
2018-02-01,2018,2,February,Feb,FY 2017-18,Q4,28
2018-03-01,2018,3,March,Mar,FY 2017-18,Q4,31
2018-04-01,2018,4,April,Apr,FY 2018-19,Q1,30
2018-05-01,2018,5,May,May,FY 2018-19,Q1,31
2018-06-01,2018,6,June,Jun,FY 2018-19,Q1,30
2018-07-01,2018,7,July,Jul,FY 2018-19,Q2,31
2018-08-01,2018,8,August,Aug,FY 2018-19,Q2,31
2018-09-01,2018,9,September,Sep,FY 2018-19,Q2,30
2018-10-01,2018,10,October,Oct,FY 2018-19,Q3,31
2018-11-01,2018,11,November,Nov,FY 2018-19,Q3,30
2018-12-01,2018,12,December,Dec,FY 2018-19,Q3,31
2019-01-01,2019,1,January,Jan,FY 2018-19,Q4,31
2019-02-01,2019,2,February,Feb,FY 2018-19,Q4,28
2019-03-01,2019,3,March,Mar,FY 2018-19,Q4,31
2019-04-01,2019,4,April,Apr,FY 2019-20,Q1,30
2019-05-01,2019,5,May,May,FY 2019-20,Q1,31
2019-06-01,2019,6,June,Jun,FY 2019-20,Q1,30
2019-07-01,2019,7,July,Jul,FY 2019-20,Q2,31
2019-08-01,2019,8,August,Aug,FY 2019-20,Q2,31
2019-09-01,2019,9,September,Sep,FY 2019-20,Q2,30
2019-10-01,2019,10,October,Oct,FY 2019-20,Q3,31
2019-11-01,2019,11,November,Nov,FY 2019-20,Q3,30
2019-12-01,2019,12,December,Dec,FY 2019-20,Q3,31
2020-01-01,2020,1,January,Jan,FY 2019-20,Q4,31
2020-02-01,2020,2,February,Feb,FY 2019-20,Q4,29
2020-03-01,2020,3,March,Mar,FY 2019-20,Q4,31
2020-04-01,2020,4,April,Apr,FY 2020-21,Q1,30
2020-05-01,2020,5,May,May,FY 2020-21,Q1,31
2020-06-01,2020,6,June,Jun,FY 2020-21,Q1,30
2020-07-01,2020,7,July,Jul,FY 2020-21,Q2,31
2020-08-01,2020,8,August,Aug,FY 2020-21,Q2,31
2020-09-01,2020,9,September,Sep,FY 2020-21,Q2,30
2020-10-01,2020,10,October,Oct,FY 2020-21,Q3,31
2020-11-01,2020,11,November,Nov,FY 2020-21,Q3,30
2020-12-01,2020,12,December,Dec,FY 2020-21,Q3,31
2021-01-01,2021,1,January,Jan,FY 2020-21,Q4,31
2021-02-01,2021,2,February,Feb,FY 2020-21,Q4,28
2021-03-01,2021,3,March,Mar,FY 2020-21,Q4,31
2021-04-01,2021,4,April,Apr,FY 2021-22,Q1,30
2021-05-01,2021,5,May,May,FY 2021-22,Q1,31
2021-06-01,2021,6,June,Jun,FY 2021-22,Q1,30
2021-07-01,2021,7,July,Jul,FY 2021-22,Q2,31
2021-08-01,2021,8,August,Aug,FY 2021-22,Q2,31
2021-09-01,2021,9,September,Sep,FY 2021-22,Q2,30
2021-10-01,2021,10,October,Oct,FY 2021-22,Q3,31
2021-11-01,2021,11,November,Nov,FY 2021-22,Q3,30
2021-12-01,2021,12,December,Dec,FY 2021-22,Q3,31
2022-01-01,2022,1,January,Jan,FY 2021-22,Q4,31
2022-02-01,2022,2,February,Feb,FY 2021-22,Q4,28
2022-03-01,2022,3,March,Mar,FY 2021-22,Q4,31
2022-04-01,2022,4,April,Apr,FY 2022-23,Q1,30
2022-05-01,2022,5,May,May,FY 2022-23,Q1,31
2022-06-01,2022,6,June,Jun,FY 2022-23,Q1,30
2022-07-01,2022,7,July,Jul,FY 2022-23,Q2,31
2022-08-01,2022,8,August,Aug,FY 2022-23,Q2,31
2022-09-01,2022,9,September,Sep,FY 2022-23,Q2,30
2022-10-01,2022,10,October,Oct,FY 2022-23,Q3,31
2022-11-01,2022,11,November,Nov,FY 2022-23,Q3,30
2022-12-01,2022,12,December,Dec,FY 2022-23,Q3,31
2023-01-01,2023,1,January,Jan,FY 2022-23,Q4,31
2023-02-01,2023,2,February,Feb,FY 2022-23,Q4,28
2023-03-01,2023,3,March,Mar,FY 2022-23,Q4,31
2023-04-01,2023,4,April,Apr,FY 2023-24,Q1,30
2023-05-01,2023,5,May,May,FY 2023-24,Q1,31
2023-06-01,2023,6,June,Jun,FY 2023-24,Q1,30
