date,fiscal_year,product_id,product_name,category,consumption_tmt,consumption_mmt
2014-04-01,FY 2014-15,PRD01,High Speed Diesel (HSD),Middle Distillate,5512.23,5.5122
2014-04-01,FY 2014-15,PRD02,Motor Spirit (Petrol / MS),Light Distillate,1797.27,1.7973
2014-04-01,FY 2014-15,PRD03,Liquefied Petroleum Gas (LPG),Light Distillate,1525.13,1.5251
2014-04-01,FY 2014-15,PRD04,Aviation Turbine Fuel (ATF),Middle Distillate,456.8,0.4568
2014-04-01,FY 2014-15,PRD05,Naphtha,Light Distillate,819.92,0.8199
2014-04-01,FY 2014-15,PRD06,Petroleum Coke (Petcoke),Heavy Ends,1031.18,1.0312
2014-04-01,FY 2014-15,PRD07,Bitumen,Heavy Ends,555.84,0.5558
2014-04-01,FY 2014-15,PRD08,Fuel Oil (FO / LSHS),Heavy Ends,638.9,0.6389
2014-04-01,FY 2014-15,PRD09,Light Diesel Oil & Lubes,Others,954.42,0.9544
2014-05-01,FY 2014-15,PRD01,High Speed Diesel (HSD),Middle Distillate,5530.4,5.5304
2014-05-01,FY 2014-15,PRD02,Motor Spirit (Petrol / MS),Light Distillate,1798.44,1.7984
2014-05-01,FY 2014-15,PRD03,Liquefied Petroleum Gas (LPG),Light Distillate,1515.31,1.5153
2014-05-01,FY 2014-15,PRD04,Aviation Turbine Fuel (ATF),Middle Distillate,479.66,0.4797
2014-05-01,FY 2014-15,PRD05,Naphtha,Light Distillate,842.76,0.8428
2014-05-01,FY 2014-15,PRD06,Petroleum Coke (Petcoke),Heavy Ends,1023.19,1.0232
2014-05-01,FY 2014-15,PRD07,Bitumen,Heavy Ends,560.55,0.5605
2014-05-01,FY 2014-15,PRD08,Fuel Oil (FO / LSHS),Heavy Ends,597.87,0.5979
2014-05-01,FY 2014-15,PRD09,Light Diesel Oil & Lubes,Others,961.31,0.9613
2014-06-01,FY 2014-15,PRD01,High Speed Diesel (HSD),Middle Distillate,5550.77,5.5508
2014-06-01,FY 2014-15,PRD02,Motor Spirit (Petrol / MS),Light Distillate,1843.42,1.8434
2014-06-01,FY 2014-15,PRD03,Liquefied Petroleum Gas (LPG),Light Distillate,1532.56,1.5326
2014-06-01,FY 2014-15,PRD04,Aviation Turbine Fuel (ATF),Middle Distillate,453.71,0.4537
2014-06-01,FY 2014-15,PRD05,Naphtha,Light Distillate,804.42,0.8044
2014-06-01,FY 2014-15,PRD06,Petroleum Coke (Petcoke),Heavy Ends,1043.51,1.0435
2014-06-01,FY 2014-15,PRD07,Bitumen,Heavy Ends,565.47,0.5655
2014-06-01,FY 2014-15,PRD08,Fuel Oil (FO / LSHS),Heavy Ends,631.43,0.6314
2014-06-01,FY 2014-15,PRD09,Light Diesel Oil & Lubes,Others,975.98,0.976
2014-07-01,FY 2014-15,PRD01,High Speed Diesel (HSD),Middle Distillate,5256.55,5.2565
2014-07-01,FY 2014-15,PRD02,Motor Spirit (Petrol / MS),Light Distillate,1712.58,1.7126
2014-07-01,FY 2014-15,PRD03,Liquefied Petroleum Gas (LPG),Light Distillate,1466.73,1.4667
2014-07-01,FY 2014-15,PRD04,Aviation Turbine Fuel (ATF),Middle Distillate,434.8,0.4348
2014-07-01,FY 2014-15,PRD05,Naphtha,Light Distillate,773.77,0.7738
2014-07-01,FY 2014-15,PRD06,Petroleum Coke (Petcoke),Heavy Ends,957.07,0.9571
2014-07-01,FY 2014-15,PRD07,Bitumen,Heavy Ends,310.81,0.3108
2014-07-01,FY 2014-15,PRD08,Fuel Oil (FO / LSHS),Heavy Ends,589.81,0.5898
2014-07-01,FY 2014-15,PRD09,Light Diesel Oil & Lubes,Others,920.28,0.9203
2014-08-01,FY 2014-15,PRD01,High Speed Diesel (HSD),Middle Distillate,5256.77,5.2568
2014-08-01,FY 2014-15,PRD02,Motor Spirit (Petrol / MS),Light Distillate,1718.27,1.7183
2014-08-01,FY 2014-15,PRD03,Liquefied Petroleum Gas (LPG),Light Distillate,1459.3,1.4593
2014-08-01,FY 2014-15,PRD04,Aviation Turbine Fuel (ATF),Middle Distillate,438.58,0.4386
