date,fiscal_year,refinery_id,refinery_name,operator,sector,crude_processed_tmt,capacity_utilization_pct
2014-04-01,FY 2014-15,REF01,IOCL Panipat,IOCL,PSU,1260.03,100.8
2014-04-01,FY 2014-15,REF02,IOCL Koyali (Gujarat),IOCL,PSU,1183.9,103.7
2014-04-01,FY 2014-15,REF03,IOCL Paradip,IOCL,PSU,1270.82,101.67
2014-04-01,FY 2014-15,REF04,IOCL Mathura,IOCL,PSU,686.47,102.97
2014-04-01,FY 2014-15,REF05,IOCL Haldia,IOCL,PSU,615.31,98.45
2014-04-01,FY 2014-15,REF06,IOCL Barauni,IOCL,PSU,494.38,98.88
2014-04-01,FY 2014-15,REF07,IOCL Bongaigaon,IOCL,PSU,192.8,98.45
2014-04-01,FY 2014-15,REF08,IOCL Guwahati,IOCL,PSU,88.13,105.76
2014-04-01,FY 2014-15,REF09,IOCL Digboi,IOCL,PSU,57.79,106.68
2014-04-01,FY 2014-15,REF10,BPCL Kochi,BPCL,PSU,1275.09,98.72
2014-04-01,FY 2014-15,REF11,BPCL Mumbai,BPCL,PSU,987.91,98.79
2014-04-01,FY 2014-15,REF12,HPCL Mumbai,HPCL,PSU,819.63,103.53
2014-04-01,FY 2014-15,REF13,HPCL Visakhapatnam,HPCL,PSU,982.58,107.19
2014-04-01,FY 2014-15,REF14,CPCL Manali (Chennai),CPCL (IOCL),PSU,946.61,108.18
2014-04-01,FY 2014-15,REF15,MRPL Mangalore,MRPL (ONGC),PSU,1231.86,98.55
2014-04-01,FY 2014-15,REF16,NRL Numaligarh,NRL (OIL),PSU,248.62,99.45
2014-04-01,FY 2014-15,REF17,HMEL Bathinda (GGSR),HMEL (HPCL-Mittal),JV,987.41,104.86
2014-04-01,FY 2014-15,REF18,BORL Bina,BPCL (BORL),PSU,665.2,102.34
2014-04-01,FY 2014-15,REF19,Reliance Jamnagar (DTA),Reliance Industries,Private,2955.4,107.47
2014-04-01,FY 2014-15,REF20,Reliance Jamnagar (SEZ Export),Reliance Industries,Private,3097.75,105.61
2014-04-01,FY 2014-15,REF21,Nayara Energy (Vadinar),Nayara Energy,Private,1798.34,107.9
2014-05-01,FY 2014-15,REF01,IOCL Panipat,IOCL,PSU,1352.23,108.18
2014-05-01,FY 2014-15,REF02,IOCL Koyali (Gujarat),IOCL,PSU,1129.45,98.93
2014-05-01,FY 2014-15,REF03,IOCL Paradip,IOCL,PSU,1273.69,101.9
2014-05-01,FY 2014-15,REF04,IOCL Mathura,IOCL,PSU,740.72,111.11
