date,fiscal_year,indian_crude_basket_usd_per_bbl,usd_inr_exchange_rate,domestic_crude_production_mmt,refinery_crude_intake_mmt,crude_oil_imports_mmt,crude_import_dependency_pct,crude_import_bill_usd_million,crude_import_bill_inr_crore,product_exports_mmt,product_exports_usd_million,product_imports_mmt,product_imports_usd_million,net_oil_trade_balance_usd_million
2014-04-01,FY 2014-15,105.9,60.62,2.828,18.555,15.877,85.57,12324.47,74710.94,4.866,4394.0,2.39,1959.99,-9890.46
2014-05-01,FY 2014-15,96.84,60.82,2.864,18.336,15.622,85.2,11089.08,67443.78,4.614,3852.92,2.558,1930.9,-9167.06
2014-06-01,FY 2014-15,92.59,60.78,2.784,18.333,15.699,85.63,10654.67,64759.08,5.009,4023.1,2.434,1762.82,-8394.39
2014-07-01,FY 2014-15,84.34,61.27,2.796,19.07,16.424,86.12,10153.52,62210.62,5.023,3723.55,2.383,1584.33,-8014.3
2014-08-01,FY 2014-15,77.25,60.2,2.758,18.258,15.65,85.72,8861.7,53347.43,4.847,3335.34,2.407,1477.42,-7003.78
2014-09-01,FY 2014-15,69.39,61.33,2.852,18.858,16.156,85.67,8217.41,50397.38,4.548,2861.49,2.437,1357.92,-6713.84
2014-10-01,FY 2014-15,62.34,61.99,2.862,18.471,15.759,85.32,7201.11,44639.68,4.725,2723.02,2.414,1222.57,-5700.66
2014-11-01,FY 2014-15,54.3,61.95,2.804,19.071,16.417,86.08,6534.28,40479.86,4.682,2415.91,2.408,1080.13,-5198.5
2014-12-01,FY 2014-15,48.19,61.6,2.754,19.119,16.515,86.38,5833.64,35935.22,4.749,2232.86,2.492,1008.18,-4608.96
2015-01-01,FY 2014-15,58.75,61.68,2.8,19.04,16.39,86.08,7058.15,43534.67,4.679,2570.53,2.571,1235.62,-5723.24
2015-02-01,FY 2014-15,58.53,62.18,2.831,18.701,16.02,85.66,6872.98,42736.19,4.872,2668.52,2.469,1182.69,-5387.15
2015-03-01,FY 2014-15,55.86,61.61,2.708,19.125,16.567,86.62,6783.42,41792.65,5.029,2653.8,2.419,1112.24,-5241.86
2015-04-01,FY 2015-16,50.92,62.87,2.83,18.372,15.692,85.41,5856.94,36822.58,4.747,2329.12,2.487,1055.05,-4582.87
2015-05-01,FY 2015-16,51.05,63.94,2.779,18.598,15.969,85.86,5975.54,38207.6,4.947,2432.07,2.662,1131.78,-4675.25
2015-06-01,FY 2015-16,53.73,62.76,2.834,19.259,16.575,86.06,6527.91,40969.16,4.739,2425.06,2.578,1145.81,-5248.66
