date,fiscal_year,company,source_type,crude_oil_production_tmt,natural_gas_production_mmscm
2014-04-01,FY 2014-15,ONGC,Offshore (Mumbai High/Bassein),1187.45,1327.79
2014-04-01,FY 2014-15,ONGC,Onshore (Gujarat/Assam/Others),488.89,516.36
2014-04-01,FY 2014-15,OIL India,Onshore (Assam/Rajasthan),283.89,238.6
2014-04-01,FY 2014-15,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),738.28,473.69
2014-05-01,FY 2014-15,ONGC,Offshore (Mumbai High/Bassein),1190.01,1322.72
2014-05-01,FY 2014-15,ONGC,Onshore (Gujarat/Assam/Others),485.87,514.39
2014-05-01,FY 2014-15,OIL India,Onshore (Assam/Rajasthan),283.09,241.62
2014-05-01,FY 2014-15,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),712.52,419.63
2014-06-01,FY 2014-15,ONGC,Offshore (Mumbai High/Bassein),1151.13,1313.86
2014-06-01,FY 2014-15,ONGC,Onshore (Gujarat/Assam/Others),484.75,510.94
2014-06-01,FY 2014-15,OIL India,Onshore (Assam/Rajasthan),273.59,231.86
2014-06-01,FY 2014-15,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),719.94,468.65
2014-07-01,FY 2014-15,ONGC,Offshore (Mumbai High/Bassein),1125.23,1331.3
2014-07-01,FY 2014-15,ONGC,Onshore (Gujarat/Assam/Others),489.42,517.73
2014-07-01,FY 2014-15,OIL India,Onshore (Assam/Rajasthan),270.95,233.59
2014-07-01,FY 2014-15,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),707.72,450.64
2014-08-01,FY 2014-15,ONGC,Offshore (Mumbai High/Bassein),1118.39,1328.16
2014-08-01,FY 2014-15,ONGC,Onshore (Gujarat/Assam/Others),486.17,516.51
2014-08-01,FY 2014-15,OIL India,Onshore (Assam/Rajasthan),275.72,234.32
2014-08-01,FY 2014-15,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),734.56,455.67
2014-09-01,FY 2014-15,ONGC,Offshore (Mumbai High/Bassein),1154.19,1331.04
2014-09-01,FY 2014-15,ONGC,Onshore (Gujarat/Assam/Others),489.8,517.63
2014-09-01,FY 2014-15,OIL India,Onshore (Assam/Rajasthan),267.41,245.26
2014-09-01,FY 2014-15,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),694.48,444.24
2014-10-01,FY 2014-15,ONGC,Offshore (Mumbai High/Bassein),1169.27,1318.31
2014-10-01,FY 2014-15,ONGC,Onshore (Gujarat/Assam/Others),485.34,512.68
2014-10-01,FY 2014-15,OIL India,Onshore (Assam/Rajasthan),270.13,247.34
2014-10-01,FY 2014-15,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),699.86,445.15
2014-11-01,FY 2014-15,ONGC,Offshore (Mumbai High/Bassein),1143.05,1336.71
2014-11-01,FY 2014-15,ONGC,Onshore (Gujarat/Assam/Others),489.97,519.83
2014-11-01,FY 2014-15,OIL India,Onshore (Assam/Rajasthan),276.52,247.35
2014-11-01,FY 2014-15,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),698.46,452.3
2014-12-01,FY 2014-15,ONGC,Offshore (Mumbai High/Bassein),1155.41,1316.17
2014-12-01,FY 2014-15,ONGC,Onshore (Gujarat/Assam/Others),484.53,511.85
2014-12-01,FY 2014-15,OIL India,Onshore (Assam/Rajasthan),280.65,240.22
2014-12-01,FY 2014-15,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),716.37,420.07
2015-01-01,FY 2014-15,ONGC,Offshore (Mumbai High/Bassein),1148.56,1341.96
2015-01-01,FY 2014-15,ONGC,Onshore (Gujarat/Assam/Others),493.13,521.87
2015-01-01,FY 2014-15,OIL India,Onshore (Assam/Rajasthan),286.64,243.67
2015-01-01,FY 2014-15,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),701.89,425.32
2015-02-01,FY 2014-15,ONGC,Offshore (Mumbai High/Bassein),1170.42,1275.84
2015-02-01,FY 2014-15,ONGC,Onshore (Gujarat/Assam/Others),498.55,496.16
2015-02-01,FY 2014-15,OIL India,Onshore (Assam/Rajasthan),278.12,246.6
2015-02-01,FY 2014-15,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),719.61,434.64
2015-03-01,FY 2014-15,ONGC,Offshore (Mumbai High/Bassein),1159.01,1328.53
2015-03-01,FY 2014-15,ONGC,Onshore (Gujarat/Assam/Others),486.61,516.65
2015-03-01,FY 2014-15,OIL India,Onshore (Assam/Rajasthan),266.24,250.7
2015-03-01,FY 2014-15,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),696.28,423.89
2015-04-01,FY 2015-16,ONGC,Offshore (Mumbai High/Bassein),1149.87,1311.66
2015-04-01,FY 2015-16,ONGC,Onshore (Gujarat/Assam/Others),481.49,510.09
2015-04-01,FY 2015-16,OIL India,Onshore (Assam/Rajasthan),283.49,245.08
2015-04-01,FY 2015-16,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),700.95,431.46
2015-05-01,FY 2015-16,ONGC,Offshore (Mumbai High/Bassein),1175.03,1293.96
2015-05-01,FY 2015-16,ONGC,Onshore (Gujarat/Assam/Others),479.51,503.21
2015-05-01,FY 2015-16,OIL India,Onshore (Assam/Rajasthan),275.87,243.94
2015-05-01,FY 2015-16,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),690.38,432.25
2015-06-01,FY 2015-16,ONGC,Offshore (Mumbai High/Bassein),1159.08,1313.23
2015-06-01,FY 2015-16,ONGC,Onshore (Gujarat/Assam/Others),482.87,510.7
2015-06-01,FY 2015-16,OIL India,Onshore (Assam/Rajasthan),269.17,237.52
2015-06-01,FY 2015-16,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),688.12,424.25
2015-07-01,FY 2015-16,ONGC,Offshore (Mumbai High/Bassein),1117.02,1317.16
2015-07-01,FY 2015-16,ONGC,Onshore (Gujarat/Assam/Others),499.46,512.23
2015-07-01,FY 2015-16,OIL India,Onshore (Assam/Rajasthan),278.55,230.99
2015-07-01,FY 2015-16,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),694.34,424.6
2015-08-01,FY 2015-16,ONGC,Offshore (Mumbai High/Bassein),1110.63,1316.98
2015-08-01,FY 2015-16,ONGC,Onshore (Gujarat/Assam/Others),503.71,512.16
2015-08-01,FY 2015-16,OIL India,Onshore (Assam/Rajasthan),276.18,235.65
2015-08-01,FY 2015-16,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),692.95,440.48
2015-09-01,FY 2015-16,ONGC,Offshore (Mumbai High/Bassein),1165.78,1291.47
2015-09-01,FY 2015-16,ONGC,Onshore (Gujarat/Assam/Others),489.95,502.24
2015-09-01,FY 2015-16,OIL India,Onshore (Assam/Rajasthan),271.71,246.35
2015-09-01,FY 2015-16,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),704.25,454.52
2015-10-01,FY 2015-16,ONGC,Offshore (Mumbai High/Bassein),1138.14,1287.89
2015-10-01,FY 2015-16,ONGC,Onshore (Gujarat/Assam/Others),478.72,500.85
2015-10-01,FY 2015-16,OIL India,Onshore (Assam/Rajasthan),277.6,243.41
2015-10-01,FY 2015-16,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),679.46,404.07
2015-11-01,FY 2015-16,ONGC,Offshore (Mumbai High/Bassein),1158.6,1309.1
2015-11-01,FY 2015-16,ONGC,Onshore (Gujarat/Assam/Others),475.52,509.1
2015-11-01,FY 2015-16,OIL India,Onshore (Assam/Rajasthan),286.13,248.05
2015-11-01,FY 2015-16,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),674.18,399.87
2015-12-01,FY 2015-16,ONGC,Offshore (Mumbai High/Bassein),1153.41,1318.68
2015-12-01,FY 2015-16,ONGC,Onshore (Gujarat/Assam/Others),492.96,512.82
2015-12-01,FY 2015-16,OIL India,Onshore (Assam/Rajasthan),267.02,248.02
2015-12-01,FY 2015-16,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),683.88,398.11
2016-01-01,FY 2015-16,ONGC,Offshore (Mumbai High/Bassein),1128.69,1319.34
2016-01-01,FY 2015-16,ONGC,Onshore (Gujarat/Assam/Others),486.3,513.08
2016-01-01,FY 2015-16,OIL India,Onshore (Assam/Rajasthan),278.28,239.42
2016-01-01,FY 2015-16,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),682.76,418.48
2016-02-01,FY 2015-16,ONGC,Offshore (Mumbai High/Bassein),1151.4,1290.76
2016-02-01,FY 2015-16,ONGC,Onshore (Gujarat/Assam/Others),476.04,501.96
2016-02-01,FY 2015-16,OIL India,Onshore (Assam/Rajasthan),287.53,247.61
2016-02-01,FY 2015-16,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),683.52,398.71
2016-03-01,FY 2015-16,ONGC,Offshore (Mumbai High/Bassein),1157.31,1318.73
2016-03-01,FY 2015-16,ONGC,Onshore (Gujarat/Assam/Others),490.64,512.84
2016-03-01,FY 2015-16,OIL India,Onshore (Assam/Rajasthan),271.24,248.77
2016-03-01,FY 2015-16,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),687.48,440.12
2016-04-01,FY 2016-17,ONGC,Offshore (Mumbai High/Bassein),1140.32,1309.01
2016-04-01,FY 2016-17,ONGC,Onshore (Gujarat/Assam/Others),474.97,509.06
2016-04-01,FY 2016-17,OIL India,Onshore (Assam/Rajasthan),270.66,246.05
2016-04-01,FY 2016-17,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),664.21,414.15
2016-05-01,FY 2016-17,ONGC,Offshore (Mumbai High/Bassein),1154.91,1358.46
2016-05-01,FY 2016-17,ONGC,Onshore (Gujarat/Assam/Others),480.73,528.29
2016-05-01,FY 2016-17,OIL India,Onshore (Assam/Rajasthan),284.55,247.92
2016-05-01,FY 2016-17,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),668.91,395.48
2016-06-01,FY 2016-17,ONGC,Offshore (Mumbai High/Bassein),1124.94,1317.12
2016-06-01,FY 2016-17,ONGC,Onshore (Gujarat/Assam/Others),484.11,512.21
